policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
sueno,dream,models/checkpoints/controller/best_model.zip,7016,-279.0,3.816666666666667,1.0666666666666667,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,7017,-269.0,3.5833333333333335,1.0333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7018,-190.99999999999997,2.6,0.7833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7019,-656.3000000000001,8.816666666666666,2.35,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,7020,-311.1,4.233333333333333,1.1333333333333333,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,7021,-272.09999999999997,3.683333333333333,1.0333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7022,-224.99999999999997,2.966666666666667,0.8833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7023,-218.99999999999997,2.95,0.8333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7024,-307.0,4.166666666666667,1.1333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7025,-252.99999999999994,3.4833333333333334,0.95,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7026,-354.1,4.8,1.2833333333333334,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,7027,-210.89999999999998,2.8333333333333335,0.85,17,60
sueno,dream,models/checkpoints/controller/best_model.zip,7028,-344.1,4.65,1.2833333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7029,-448.20000000000005,6.033333333333333,1.5833333333333333,21,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7000,-212.89999999999998,2.8333333333333335,0.8833333333333333,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7001,-204.99999999999997,2.816666666666667,0.8,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7002,-537.9000000000001,7.35,1.8333333333333333,18,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7003,-269.0,3.716666666666667,0.9166666666666666,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7004,-220.99999999999997,2.933333333333333,0.9166666666666666,20,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7005,-166.89999999999998,2.2333333333333334,0.7166666666666667,17,60
