policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3000,-131.2,1.8333333333333333,0.5666666666666667,14,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3001,-609.2000000000002,8.4,1.9833333333333334,20,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3002,-736.3000000000004,10.216666666666667,2.183333333333333,20,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3003,-255.39999999999998,3.5833333333333335,0.9333333333333333,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3004,-829.6000000000003,11.266666666666667,2.7,24,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3005,-490.9000000000003,6.766666666666667,1.5833333333333333,21,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3006,-183.29999999999998,2.5166666666666666,0.7333333333333333,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3007,-165.59999999999994,2.216666666666667,0.7166666666666667,17,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3008,-215.59999999999994,2.9166666666666665,0.8,17,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3009,-766.1000000000004,10.583333333333334,2.3,20,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3010,-143.19999999999996,1.9166666666666667,0.6166666666666667,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3011,-275.5999999999999,3.7333333333333334,1.0166666666666666,18,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3012,-177.29999999999995,2.45,0.6833333333333333,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3013,-271.59999999999997,3.716666666666667,0.95,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,3014,-147.09999999999997,2.1333333333333333,0.5333333333333333,14,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5000,-1160.4,16.25,3.183333333333333,22,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5001,-245.79999999999993,3.3,0.9833333333333333,19,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5002,-237.39999999999995,3.25,0.9166666666666666,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5003,-352.8,4.733333333333333,1.3,18,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5004,-747.9000000000003,10.3,2.35,20,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5005,-321.4,4.416666666666667,1.0833333333333333,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5006,-305.6,4.2,1.15,18,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5007,-173.29999999999995,2.316666666666667,0.7333333333333333,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5008,-971.0000000000005,13.75,2.5166666666666666,22,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5009,-304.90000000000003,4.066666666666666,1.2,19,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5010,-186.49999999999994,2.5166666666666666,0.75,17,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5011,-266.5999999999999,3.6666666666666665,0.9833333333333333,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5012,-1695.099999999999,24.016666666666666,4.3,25,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5013,-856.1000000000004,11.816666666666666,2.65,21,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,5014,-179.49999999999997,2.466666666666667,0.7666666666666667,17,60
tiempo_fijo,fixed,deterministic,3000,-360.20000000000005,4.933333333333334,1.35,22,60
tiempo_fijo,fixed,deterministic,3001,-383.20000000000005,5.283333333333333,1.3666666666666667,22,60
