policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
sueno,dream,models/checkpoints/controller/best_model.zip,5002,-395.0000000000001,5.416666666666667,1.3666666666666667,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,5003,-499.30000000000007,6.733333333333333,1.8166666666666667,23,60
sueno,dream,models/checkpoints/controller/best_model.zip,5004,-330.0,4.4,1.25,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5005,-315.0,4.233333333333333,1.1833333333333333,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,5006,-291.1,3.95,1.0833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5007,-227.99999999999997,2.9833333333333334,0.9833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5008,-511.30000000000007,6.85,1.85,23,60
sueno,dream,models/checkpoints/controller/best_model.zip,5009,-322.20000000000005,4.366666666666666,1.1666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5010,-239.99999999999997,3.2333333333333334,0.9833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5011,-236.99999999999997,3.0833333333333335,1.0333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5012,-998.7000000000003,13.116666666666667,3.716666666666667,25,60
sueno,dream,models/checkpoints/controller/best_model.zip,5013,-219.89999999999998,3.05,0.8666666666666667,18,60
sueno,dream,models/checkpoints/controller/best_model.zip,5014,-275.20000000000005,3.8,1.05,21,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3000,-265.9,3.55,1.0166666666666666,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3001,-414.0000000000001,5.733333333333333,1.4166666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3002,-267.9,3.6666666666666665,1.0166666666666666,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3003,-406.0,5.55,1.5333333333333334,20,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3004,-267.09999999999997,3.683333333333333,0.95,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3005,-327.1,4.533333333333333,1.2,21,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3006,-344.0,4.666666666666667,1.2833333333333334,20,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3007,-241.99999999999994,3.3666666666666667,0.9333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3008,-289.1,3.85,1.1,21,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3009,-294.9,3.9833333333333334,1.1166666666666667,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3010,-244.89999999999998,3.3333333333333335,0.9166666666666666,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3011,-338.0,4.533333333333333,1.2833333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3012,-219.89999999999998,2.95,0.8666666666666667,18,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3013,-290.9,3.966666666666667,1.0333333333333334,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,3014,-123.89999999999998,1.7666666666666666,0.5,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,5000,-468.3000000000002,6.266666666666667,1.6833333333333333,23,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,5001,-278.0,3.7666666666666666,1.1166666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,5002,-222.89999999999998,3.0,0.85,17,60
